"[(245, 205, 222), 0, 0]","[(245, 205, 222), 40, 0]","[(245, 205, 222), 80, 0]","[(245, 205, 222), 120, 0]","[(245, 205, 222), 160, 0]","[(245, 205, 222), 200, 0]","[(245, 205, 222), 240, 0]","[(245, 205, 222), 280, 0]","[(245, 205, 222), 320, 0]","[(245, 205, 222), 360, 0]","[(245, 205, 222), 400, 0]","[(245, 205, 222), 440, 0]","[(245, 205, 222), 480, 0]","[(245, 205, 222), 520, 0]","[(245, 205, 222), 560, 0]","[(245, 205, 222), 600, 0]","[(245, 205, 222), 640, 0]","[(245, 205, 222), 680, 0]","[(245, 205, 222), 720, 0]","[(245, 205, 222), 760, 0]"
"[(245, 205, 222), 0, 40]","[(251, 247, 213), 40, 40]","[(251, 247, 213), 80, 40]","[(251, 247, 213), 120, 40]","[(245, 205, 222), 160, 40]","[(251, 247, 213), 200, 40]","[(251, 247, 213), 240, 40]","[(251, 247, 213), 280, 40]","[(251, 247, 213), 320, 40]","[(251, 247, 213), 360, 40]","[(251, 247, 213), 400, 40]","[(251, 247, 213), 440, 40]","[(251, 247, 213), 480, 40]","[(251, 247, 213), 520, 40]","[(251, 247, 213), 560, 40]","[(251, 247, 213), 600, 40]","[(251, 247, 213), 640, 40]","[(251, 247, 213), 680, 40]","[(235, 225, 200), 720, 40]","[(245, 205, 222), 760, 40]"
"[(245, 205, 222), 0, 80]","[(251, 247, 213), 40, 80]","[(245, 205, 222), 80, 80]","[(245, 205, 222), 120, 80]","[(245, 205, 222), 160, 80]","[(245, 205, 222), 200, 80]","[(251, 247, 213), 240, 80]","[(245, 205, 222), 280, 80]","[(245, 205, 222), 320, 80]","[(245, 205, 222), 360, 80]","[(245, 205, 222), 400, 80]","[(245, 205, 222), 440, 80]","[(245, 205, 222), 480, 80]","[(245, 205, 222), 520, 80]","[(245, 205, 222), 560, 80]","[(245, 205, 222), 600, 80]","[(245, 205, 222), 640, 80]","[(245, 205, 222), 680, 80]","[(251, 247, 213), 720, 80]","[(245, 205, 222), 760, 80]"
"[(245, 205, 222), 0, 120]","[(251, 247, 213), 40, 120]","[(245, 205, 222), 80, 120]","[(251, 247, 213), 120, 120]","[(251, 247, 213), 160, 120]","[(251, 247, 213), 200, 120]","[(251, 247, 213), 240, 120]","[(251, 247, 213), 280, 120]","[(251, 247, 213), 320, 120]","[(251, 247, 213), 360, 120]","[(251, 247, 213), 400, 120]","[(251, 247, 213), 440, 120]","[(251, 247, 213), 480, 120]","[(251, 247, 213), 520, 120]","[(245, 205, 222), 560, 120]","[(251, 247, 213), 600, 120]","[(251, 247, 213), 640, 120]","[(251, 247, 213), 680, 120]","[(251, 247, 213), 720, 120]","[(245, 205, 222), 760, 120]"
"[(245, 205, 222), 0, 160]","[(251, 247, 213), 40, 160]","[(245, 205, 222), 80, 160]","[(251, 247, 213), 120, 160]","[(245, 205, 222), 160, 160]","[(245, 205, 222), 200, 160]","[(245, 205, 222), 240, 160]","[(245, 205, 222), 280, 160]","[(245, 205, 222), 320, 160]","[(245, 205, 222), 360, 160]","[(245, 205, 222), 400, 160]","[(245, 205, 222), 440, 160]","[(245, 205, 222), 480, 160]","[(245, 205, 222), 520, 160]","[(245, 205, 222), 560, 160]","[(245, 205, 222), 600, 160]","[(251, 247, 213), 640, 160]","[(245, 205, 222), 680, 160]","[(251, 247, 213), 720, 160]","[(245, 205, 222), 760, 160]"
"[(245, 205, 222), 0, 200]","[(251, 247, 213), 40, 200]","[(251, 247, 213), 80, 200]","[(251, 247, 213), 120, 200]","[(245, 205, 222), 160, 200]","[(251, 247, 213), 200, 200]","[(251, 247, 213), 240, 200]","[(251, 247, 213), 280, 200]","[(245, 205, 222), 320, 200]","[(251, 247, 213), 360, 200]","[(251, 247, 213), 400, 200]","[(251, 247, 213), 440, 200]","[(251, 247, 213), 480, 200]","[(251, 247, 213), 520, 200]","[(251, 247, 213), 560, 200]","[(245, 205, 222), 600, 200]","[(251, 247, 213), 640, 200]","[(245, 205, 222), 680, 200]","[(251, 247, 213), 720, 200]","[(245, 205, 222), 760, 200]"
"[(245, 205, 222), 0, 240]","[(251, 247, 213), 40, 240]","[(245, 205, 222), 80, 240]","[(245, 205, 222), 120, 240]","[(245, 205, 222), 160, 240]","[(251, 247, 213), 200, 240]","[(245, 205, 222), 240, 240]","[(251, 247, 213), 280, 240]","[(245, 205, 222), 320, 240]","[(245, 205, 222), 360, 240]","[(245, 205, 222), 400, 240]","[(245, 205, 222), 440, 240]","[(251, 247, 213), 480, 240]","[(245, 205, 222), 520, 240]","[(251, 247, 213), 560, 240]","[(245, 205, 222), 600, 240]","[(251, 247, 213), 640, 240]","[(245, 205, 222), 680, 240]","[(251, 247, 213), 720, 240]","[(245, 205, 222), 760, 240]"
"[(245, 205, 222), 0, 280]","[(245, 205, 222), 40, 280]","[(245, 205, 222), 80, 280]","[(251, 247, 213), 120, 280]","[(251, 247, 213), 160, 280]","[(251, 247, 213), 200, 280]","[(245, 205, 222), 240, 280]","[(251, 247, 213), 280, 280]","[(200, 255, 200), 320, 280]","[(245, 205, 222), 360, 280]","[(251, 247, 213), 400, 280]","[(251, 247, 213), 440, 280]","[(251, 247, 213), 480, 280]","[(245, 205, 222), 520, 280]","[(251, 247, 213), 560, 280]","[(245, 205, 222), 600, 280]","[(251, 247, 213), 640, 280]","[(245, 205, 222), 680, 280]","[(251, 247, 213), 720, 280]","[(245, 205, 222), 760, 280]"
"[(245, 205, 222), 0, 320]","[(251, 247, 213), 40, 320]","[(245, 205, 222), 80, 320]","[(251, 247, 213), 120, 320]","[(245, 205, 222), 160, 320]","[(245, 205, 222), 200, 320]","[(245, 205, 222), 240, 320]","[(245, 205, 222), 280, 320]","[(245, 205, 222), 320, 320]","[(245, 205, 222), 360, 320]","[(245, 205, 222), 400, 320]","[(245, 205, 222), 440, 320]","[(245, 205, 222), 480, 320]","[(245, 205, 222), 520, 320]","[(251, 247, 213), 560, 320]","[(245, 205, 222), 600, 320]","[(251, 247, 213), 640, 320]","[(245, 205, 222), 680, 320]","[(251, 247, 213), 720, 320]","[(245, 205, 222), 760, 320]"
"[(245, 205, 222), 0, 360]","[(251, 247, 213), 40, 360]","[(245, 205, 222), 80, 360]","[(251, 247, 213), 120, 360]","[(245, 205, 222), 160, 360]","[(251, 247, 213), 200, 360]","[(251, 247, 213), 240, 360]","[(251, 247, 213), 280, 360]","[(251, 247, 213), 320, 360]","[(251, 247, 213), 360, 360]","[(251, 247, 213), 400, 360]","[(251, 247, 213), 440, 360]","[(245, 205, 222), 480, 360]","[(251, 247, 213), 520, 360]","[(251, 247, 213), 560, 360]","[(245, 205, 222), 600, 360]","[(251, 247, 213), 640, 360]","[(245, 205, 222), 680, 360]","[(251, 247, 213), 720, 360]","[(245, 205, 222), 760, 360]"
